furret2,mesp,1,s5w1
wof,serpy,1,
tryyal,orange,1,
jacob,maty,0,
kozak,whyachi,0,
flare,henke,0,
ocho,orang,0,
risa,pickle,0,
mattyp,ghostly,1,
crobatoh,vector,0,
ginger,turtle,0,
sylvee,webster,0,
henke,wof,0,s5w2
tryyal,furret2,0,
maty,mesp,1,
orang,serpy,1,
ghostly,flare,1,
ocho,vector,0,
whyachi,orange,1,
webster,mattyp,1,
pickle,jacob,1,
kozak,turtle,0,
crobatoh,sylvee,0,
ginger,risa,0,
furret2,maty,1,s5w3
tryyal,whyachi,1,
wof,orang,1,
mesp,pickle,0,
titan,ghostly,1,
orange,turtle,0,
serpy,vector,0,
flare,webster,0,
jacob,ginger,0,
ocho,sylvee,0,
mattyp,crobatoh,1,
kozak,risa,0,
ghostly,wof,1,s5w4
whyachi,furret2,0,
pickle,maty,0,
turtle,tryyal,0,
orang,vector,0,
webster,titan,1,
ginger,mesp,1,
sylvee,serpy,1,
crobatoh,flare,1,
risa,orange,0,
mattyp,ocho,0,
kozak,jacob,1,
furret2,pickle,1,s5w5
whyachi,turtle,0,
wof,vector,1,
ghostly,webster,0,
maty,ginger,1,
orang,sylvee,0,
tryyal,risa,1,
titan,crobatoh,1,
mesp,kozak,0,
serpy,mattyp,1,
jacob,orange,0,
flare,ocho,0,
turtle,furret2,0,s5w6
pickle,ginger,1,
webster,wof,1,
risa,whyachi,1,
crobatoh,ghostly,1,
vector,sylvee,1,
kozak,maty,0,
tryyal,jacob,1,
mattyp,orang,0,
ocho,titan,0,
orange,mesp,1,
flare,serpy,0,
whyachi,serpy,0,s5w7
ghostly,mesp,1,
flare,turtle,0,
pickle,orang,1,
furret2,sylvee,1,
ginger,vector,0,
jacob,titan,0,
orange,webster,0,
crobatoh,maty,0,
mattyp,kozak,1,
risa,ocho,0,
wof,tryyal,0,
furret2,ginger,1,s5w8
wof,sylvee,0,
turtle,risa,1,
webster,crobatoh,1,
pickle,kozak,1,
maty,orange,1,
vector,ocho,0,ocho sub for mattyp
whyachi,jacob,1,
ghostly,ocho,0,
titan,serpy,0,
tryyal,mesp,1,
orang,aspie,1,flare sub
crobatoh,wof,0,s5w9
risa,furret2,0,
mattyp,sylvee,0,
kozak,ginger,1,
ocho,webster,0,
serpy,ghostly,0,
jacob,turtle,0,
aspie,vector,0,flare sub
orange,pickle,0,
mesp,whyachi,0,
titan,orang,1,
tryyal,maty,0,
wof,mattyp,1,s5w10
furret2,kozak,1,
risa,jacob,0,
ginger,orange,1,
crobatoh,ocho,0,
pickle,tryyal,0,
sylvee,flare,1,
webster,serpy,1,
turtle,mesp,1,
orang,ghostly,0,
whyachi,maty,0,
vector,titan,0,
jacob,furret2,0,s5w11
orange,kozak,0,
wof,flare,0,
ocho,serpy,1,
mattyp,titan,0,
maty,turtle,1,
mesp,risa,0,
tryyal,ginger,1,
crobatoh,orang,0,
whyachi,pickle,0,
sylvee,ghostly,0,
webster,vector,0,
ocho,wof,1,s5w12
orange,furret2,0,
flare,mattyp,1,
serpy,crobatoh,1,
mesp,jacob,1,
ghostly,vector,0,
titan,sylvee,1,
orang,webster,0,
kozak,tryyal,1,
risa,maty,0,
ginger,whyachi,1,
turtle,pickle,0,
jacob,turtle,0,s5 wc playoffs
mesp,kozak,0,
orange,ginger,0,forf
orange,sylvee,1,play-in
whyachi,risa,1,
crobatoh,ocho,0,
aspie,ghostly,1,
serpy,wof,1,
mattyp,orang,0,
jacob,sylvee,1,s5 div playoffs
mesp,risa,0,
crobatoh,ghostly,0,
mattyp,wof,0,
mesp,sylvee,0,s5 conf playoffs
crobatoh,mattyp,1,
orange,flare,1,s5 consolations
whyachi,serpy,0,
kozak,orang,1,
turtle,ocho,1,
pickle,vector,0,
maty,titan,0,
furret2,webster,1,
wof,jacob,1,
ghostly,risa,0,
sylvee,crobatoh,0,s5 bronze
mesp,mattyp,0,back to back champ baybee
