emperor,ginger,0,s3w1
henke,orange,1
cynda,jacob,1
mesp,speedy,0
gengar,kozak,0
simon,orang,1
crobatoh,vector,0
whyachi,ghostly,1
orbit,serpy,1
furret1,ddiamond,1
speedy,gengar,1,s3w2
jacob,kozak,1
cynda,mesp,1
ginger,orange,1
emperor,henke,0
serpy,furret1,0
ghostly,ddiamond,0
whyachi,orbit,0
orang,vector,0
simon,crobatoh,1
emperor,simon,0,s3w3
ginger,orang,1
henke,crobatoh,0
orange,vector,0
cynda,whyachi,0
jacob,ghostly,0
mesp,orbit,0
speedy,serpy,1
gengar,furret1,0
kozak,ddiamond,1
emperor,orange,0,s3w4
ginger,gengar,1
henke,kozak,1
cynda,speedy,0
jacob,mesp,0
simon,vector,1
orang,furret1,0
crobatoh,ddiamond,1
whyachi,serpy,0
ghostly,orbit,0
mesp,gengar,0,s3w5
orange,cynda,0
henke,jacob,1
ginger,speedy,0
emperor,kozak,1
orbit,furret1,1
vector,whyachi,1
crobatoh,ghostly,0
orang,serpy,0
simon,ddiamond,1
emperor,orang,0,s3w6
ginger,crobatoh,0
henke,vector,0
orange,whyachi,1
cynda,ghostly,1
jacob,orbit,0
mesp,serpy,0
speedy,furret1,1
gengar,ddiamond,0
kozak,simon,1
emperor,mesp,0,s3w7
ginger,henke,0
cynda,kozak,0
orange,gengar,0
jacob,speedy,0
simon,orbit,0
orang,crobatoh,0
whyachi,ddiamond,0
vector,furret1,0
ghostly,serpy,1
jacob,gengar,0,s3w8
orange,mesp,0
henke,speedy,1
ginger,kozak,1
emperor,cynda,0
ghostly,furret1,0
vector,orbit,0
crobatoh,serpy,0
orang,ddiamond,0
simon,whyachi,1
emperor,crobatoh,0,s3w9
ginger,vector,0
henke,whyachi,0
orange,ghostly,1
cynda,orbit,0
jacob,serpy,0
mesp,furret1,0
speedy,ddiamond,1
gengar,simon,1
kozak,orang,1
emperor,jacob,0,s3w10
ginger,cynda,1
henke,gengar,0
orange,speedy,0
mesp,kozak,0
simon,ghostly,1
orang,whyachi,0
crobatoh,furret1,1
vector,serpy,1
orbit,ddiamond,1
cynda,gengar,0,s3w11
orange,kozak,0
henke,mesp,1
ginger,jacob,1
emperor,speedy,0
whyachi,furret1,0
vector,ddiamond,0
crobatoh,orbit,0
orang,ghostly,0
simon,serpy,1
emperor,gengar,0,s3w12
ginger,mesp,1
henke,cynda,0
orange,jacob,1
speedy,kozak,1
simon,furret1,0
orang,orbit,0
crobatoh,whyachi,0
vector,ghostly,0
serpy,ddiamond,0
jacob,gengar,0,s3playoffs
mesp,kozak,1
orange,cynda,0
orange,orang,1
mesp,serpy,0
henke,simon,0
emperor,kozak,0
jacob,orange,0
kozak,ghostly,1
cynda,vector,0
ginger,furret1,0
emperor,jacob,0
gengar,ddiamond,1
speedy,orbit,0
emperor,crobatoh,1
jacob,whyachi,1
crobatoh,whyachi,0
crobatoh,orang,0
whyachi,ghostly,0
ddiamond,ghostly,1
vector,whyachi,1
serpy,crobatoh,1
