serpy,orang,0,szn 2 week 1
simon,ghostly,0,
speedy,vector,1,
furret1,emperor,1,
bismuth,ddiamond,1,
ginger,kozak,0,
jacob,henke,0,
cynda,orbit,0,
serpy,simon,1,szn 2 week 2
orang,ghostly,1,
speedy,furret1,0,
vector,emperor,1,
bismuth,ginger,0,
ddiamond,kozak,1,
jacob,cynda,0,
henke,orbit,0,
emperor,orbit,0,szn 2 week 3
furret1,cynda,0,
henke,vector,0,
jacob,speedy,0,
ghostly,kozak,0,
simon,ginger,1,
ddiamond,orang,0,
bismuth,serpy,1,
serpy,ghostly,1,szn 2 week 4
orang,speedy,0,
emperor,simon,1,
vector,furret1,1,
bismuth,kozak,1,
ddiamond,jacob,1,
orbit,ginger,1,
henke,cynda,0,
serpy,speedy,0,szn 2 week 5
vector,simon,1,
ghostly,furret1,0,
emperor,simon,0,
bismuth,jacob,1,
henke,ginger,0,
kozak,cynda,0,
orbit,ddiamond,1,
serpy,ddiamond,1,szn 2 week 6
orang,ginger,1,
simon,bismuth,1,
ghostly,jacob,1,
speedy,henke,1,
vector,cynda,1,
furret1,orbit,0,
emperor,kozak,0,
serpy,vector,0,szn 2 week 7
orang,furret1,0,
simon,speedy,1,
emperor,ghostly,1,
bismuth,henke,0,
ddiamond,cynda,0,
ginger,jacob,0,
orbit,kozak,1,
serpy,furret1,1,szn 2 week 8
simon,orang,0,
speedy,emperor,1,
ghostly,vector,0,
bismuth,cynda,0,
ginger,ddiamond,1,
jacob,orbit,0,
kozak,henke,0,
ginger,serpy,1,szn 2 week 9
kozak,orang,0,
jacob,simon,0,
henke,ghostly,1,
cynda,speedy,0,
orbit,vector,0,
bismuth,furret1,1,
ddiamond,emperor,0,
emperor,serpy,0,szn 2 week 10
vector,orang,1,
speedy,ghostly,1,
simon,furret1,0,
orbit,bismuth,1,
henke,ddiamond,1,
jacob,kozak,1,
ginger,cynda,0,
simon,orang,0,szn 2 sword conf wc
furret1,serpy,1,
speedy,vector,0,sword conf 7th
bismuth,kozak,1,szn 2 shield conf wc
henke,ginger,0,
orbit,cynda,1,shield conf 7th
ghostly,serpy,0,sword conf div
emperor,simon,0,
furret1,orang,0,sword conf 5th
henke,jacob,1,shield conf div
kozak,ddiamond,0,
bismuth,ginger,1,shield conf 5th
ghostly,emperor,0,sword conf finals
simon,serpy,1,sword conf 3rd
kozak,jacob,0,shield conf finals
henke,ddiamond,0,shield conf 3rd
ghostly,kozak,1,finals
emperor,jacob,1,bronze
